field_name,data_type,required,vocabulary_or_range,description
subject_id,string,True,pseudonymous identifier,Subject ID.
ae_id,string,True,unique identifier,AE ID.
event_date,date,True,YYYY-MM-DD or shifted date,Event date.
event_time,time,False,HH:MM,Event time.
event_category,string,True,fall|respiratory|psychiatric|GI|allergic|cardiovascular|neurologic|swallowing|other,Event category.
event_description,string,False,short text,Structured description; avoid direct identifiers.
severity_grade,string,True,mild|moderate|severe|life_threatening|death|unknown,Severity.
serious_yes_no,boolean,True,yes|no,Serious flag.
expected_yes_no,boolean,False,yes|no|unknown,Expectedness.
relatedness_assessment,string,False,unrelated|unlikely|possible|probable|unknown,Relatedness.
suspected_related_input,string,False,candidate input ID or context,Suspected input/context.
action_taken,string,False,continue|pause|simplify|clinician_review|emergency_care|other,Action.
clinician_contacted_yes_no,boolean,False,yes|no,Clinician contacted.
urgent_care_or_er_yes_no,boolean,False,yes|no,Urgent/ER care.
outcome_status,string,False,ongoing|resolved|resolved_with_sequelae|unknown,Outcome.
resolution_date,date,False,YYYY-MM-DD or shifted date,Resolution date.
protocol_pause_required_yes_no,boolean,False,yes|no,Protocol pause flag.
response_policy_version_triggered,string,False,version ID,Linked response-policy version.
reported_by_role,string,False,role,Reported by role.
reviewed_by_role,string,False,role,Reviewed by role.
created_at,datetime,True,ISO 8601,Creation timestamp.
record_status,string,True,draft|reviewed|locked|amended,Record status.
