field_name,data_type,required,vocabulary_or_range,description
subject_id,string,True,pseudonymous identifier,Subject ID.
deviation_id,string,True,unique identifier,Deviation ID.
deviation_date,date,True,YYYY-MM-DD or shifted date,Deviation date.
deviation_category,string,True,missed_assessment|timing|procedure|device|assessor|other,Category.
expected_procedure,string,False,text,Expected procedure.
actual_procedure,string,False,text,Actual procedure.
reason_for_deviation,string,False,text,Reason.
affected_data_window,string,False,window ID or dates,Affected window.
major_minor_classification,string,False,major|minor|unknown,Classification.
corrective_action,string,False,text,Corrective action.
requires_protocol_amendment_yes_no,boolean,False,yes|no,Amendment flag.
reported_by_role,string,False,role,Reported by role.
reviewed_by_role,string,False,role,Reviewed by role.
created_at,datetime,True,ISO 8601,Creation timestamp.
record_status,string,True,draft|reviewed|locked|amended,Record status.
