field_name,data_type,required,vocabulary_or_range,description
subject_id,string,True,pseudonymous identifier,Subject ID.
calendar_date,date,True,YYYY-MM-DD or shifted date,Date.
study_day,integer,True,>=0,Study day.
device_class,string,False,wrist|ring|patch|medical|other,Device class.
device_wear_hours,number,False,0-24,Wear hours.
valid_wear_day_yes_no,boolean,False,yes|no,Valid wear day.
steps_count,integer,False,>=0,Steps.
resting_hr,integer,False,bpm,Resting HR.
hrv_metric,number,False,device-specific,HRV.
sleep_duration_minutes,integer,False,0-1440,Sleep duration.
sleep_efficiency_percent,number,False,0-100,Sleep efficiency.
spo2_mean,number,False,percent,Mean SpO2.
spo2_min,number,False,percent,Minimum SpO2.
data_export_format,string,False,csv|json|vendor|other,Export format.
device_sync_success,boolean,False,yes|no,Sync status.
discordance_self_report_flag,boolean,False,yes|no,Discordance flag.
created_at,datetime,True,ISO 8601,Creation timestamp.
record_status,string,True,draft|reviewed|locked|amended,Record status.
