field_name,data_type,required,vocabulary_or_range,description
subject_id,string,True,pseudonymous identifier,Subject ID.
sample_id,string,True,unique identifier,Sample ID.
collection_date,date,True,YYYY-MM-DD or shifted date,Collection date.
collection_time,time,False,HH:MM,Collection time.
fasting_status,string,False,fasting|nonfasting|unknown,Fasting status.
study_quarter,integer,False,>=0,Quarter.
phase,string,True,controlled vocabulary,Phase.
cycle,string,False,cycle1|cycle2|not_applicable,Cycle.
lab_vendor_category,string,False,public category,"Vendor category, not private account info."
specimen_type,string,False,blood|plasma|serum|saliva|other,Specimen type.
assay_name,string,True,text,Assay name.
assay_result_value,number,False,numeric,Result value.
assay_unit,string,False,unit,Unit.
reference_range_low,number,False,numeric,Reference low.
reference_range_high,number,False,numeric,Reference high.
result_flag,string,False,low|normal|high|critical|unknown,Result flag.
data_absent_reason,string,False,controlled vocabulary,Reason if absent.
collection_within_72h_of_eeg,boolean,False,yes|no|not_applicable,EEG synchronization status.
medication_context_flag,boolean,False,yes|no,Medication context flag.
acute_illness_context_flag,boolean,False,yes|no,Acute illness context.
created_at,datetime,True,ISO 8601,Creation timestamp.
record_status,string,True,draft|reviewed|locked|amended,Record status.
