field_name,data_type,required,vocabulary_or_range,description
subject_id,string,True,pseudonymous identifier,Subject ID.
assessment_id,string,True,unique identifier,Assessment ID.
assessment_date,date,True,YYYY-MM-DD or shifted date,Assessment date.
study_month,integer,False,>=0,Study month.
study_quarter,integer,False,>=0,Study quarter.
phase,string,True,controlled vocabulary,Protocol phase.
cycle,string,False,cycle1|cycle2|not_applicable,Cycle.
completed_by_role,string,True,participant|caregiver|proxy|clinician|assessor|mixed,Reporter role.
moca_total,integer,False,0-30,MoCA total if used.
trail_making_a_seconds,number,False,seconds,TMT-A.
trail_making_b_seconds,number,False,seconds,TMT-B.
verbal_fluency_score,integer,False,>=0,Verbal fluency.
psqi_total,integer,False,0-21,PSQI.
cat_total,integer,False,0-40,CAT.
eat10_total,integer,False,0-40,EAT-10.
mpsprs15_total,integer,False,instrument-specific,mPSPRS-15.
mds_updrs_part_iii_total,integer,False,instrument-specific,MDS-UPDRS III.
six_minute_walk_distance,number,False,meters,6MWT.
spirometry_fev1,number,False,liters or percent predicted,FEV1.
spirometry_fvc,number,False,liters or percent predicted,FVC.
assessment_quality_flag,string,False,clean|partial|confounded|missing|uninterpretable,Quality flag.
assessor_role,string,False,role,Assessor role.
same_assessor_as_prior,boolean,False,yes|no|unknown,Measurement comparability.
confounder_window_flag,boolean,False,yes|no,Confounder flag.
created_at,datetime,True,ISO 8601,Creation timestamp.
record_status,string,True,draft|reviewed|locked|amended,Record status.
