field_name,data_type,required,vocabulary_or_range,description
subject_id,string,True,pseudonymous identifier,Subject ID.
study_week,integer,True,>=0,Study week.
week_start_date,date,True,YYYY-MM-DD or shifted date,Start date.
week_end_date,date,True,YYYY-MM-DD or shifted date,End date.
phase,string,True,controlled vocabulary,Protocol phase.
cycle,string,False,cycle1|cycle2|not_applicable,Cycle.
completed_by_role,string,True,participant|caregiver|proxy|clinician|assessor|mixed,Reporter role.
tug_seconds,number,False,seconds,Timed Up and Go.
walk_10m_seconds,number,False,seconds,10-meter walk.
falls_count,integer,False,>=0,Falls count.
near_falls_count,integer,False,>=0,Near-falls count.
phq9_total,integer,False,0-27,PHQ-9 total if used.
gad7_total,integer,False,0-21,GAD-7 total if used.
mmrc_score,integer,False,0-4,mMRC if used.
average_sleep_hours,number,False,0-24,Weekly average sleep.
average_sleep_quality_0_10,number,False,0-10,Weekly average quality.
activity_minutes_week,integer,False,>=0,Activity minutes.
average_steps_per_day,number,False,>=0,Average steps.
adl_iadl_status,string,False,instrument-specific,ADL/IADL status or score.
caregiver_burden_short_score,integer,False,instrument-specific,ZBI-12 or comparable.
adherence_full_days,integer,False,0-7,Full adherence days.
adverse_event_count,integer,False,>=0,AE count.
confounder_count,integer,False,>=0,Confounder count.
clinician_contact_yes_no,boolean,False,yes|no,Clinician contact flag.
weekly_global_impression,string,False,stable|improving|declining|mixed|unknown,Descriptive only.
missingness_flag,boolean,False,yes|no,Missingness flag.
created_at,datetime,True,ISO 8601,Creation timestamp.
record_status,string,True,draft|reviewed|locked|amended,Record status.
